datetime,open,high,low,close,volume
2016-05-18 00:00:00,12.5,14.93,12.5,13.18,482.52182654
2016-05-19 00:00:00,13.18,14.9,13.0,14.9,950.44120523
2016-05-20 00:00:00,14.82,14.82,13.71,14.17,254.16661711
2016-05-23 00:00:00,13.86,13.91,13.61,13.61,180.78671194
2016-05-24 00:00:00,13.68,13.74,12.0,12.77,2753.23929761
2016-05-25 00:00:00,13.0,13.18,11.93,12.61,9697.18159109
2016-05-26 00:00:00,12.61,12.95,12.15,12.47,2989.89095855
2016-05-27 00:00:00,12.47,12.47,10.25,10.98,19334.80270001
2016-05-28 00:00:00,11.3,12.44,10.7,12.02,15681.8628585
2016-05-29 00:00:00,12.02,12.49,11.7,12.34,3387.40487214
2016-05-30 00:00:00,12.35,12.88,12.0,12.88,4135.59302674
2016-05-31 00:00:00,12.84,14.24,12.37,14.16,5807.80267105
2016-06-01 00:00:00,14.15,14.45,13.5,13.93,10399.90743021
2016-06-02 00:00:00,13.93,14.18,13.76,14.03,8053.87238728
2016-06-03 00:00:00,14.03,14.12,13.49,13.98,13008.11158384
2016-06-04 00:00:00,13.98,14.03,13.56,13.95,6261.45920002
2016-06-05 00:00:00,13.97,14.06,13.8,14.04,1959.58572034
2016-06-06 00:00:00,14.02,14.3,13.83,14.22,5140.25595197
2016-06-07 00:00:00,14.21,14.69,13.97,14.52,13018.45243483
2016-06-08 00:00:00,14.53,14.87,14.4,14.64,12612.50810563
2016-06-09 00:00:00,14.64,14.85,14.55,14.71,8228.78935239
2016-06-10 00:00:00,14.61,14.74,13.76,13.91,17343.60529673
2016-06-11 00:00:00,13.93,14.29,13.86,14.1,7584.34578331
2016-06-12 00:00:00,14.14,15.91,13.92,15.58,20345.76593924
2016-06-13 00:00:00,15.91,17.93,15.49,17.89,24139.28308106
2016-06-14 00:00:00,17.86,19.08,16.96,18.79,35354.00175853
2016-06-15 00:00:00,18.79,18.81,17.89,18.42,13621.19598818
2016-06-16 00:00:00,18.51,21.35,18.5,20.99,34254.40154851
2016-06-17 00:00:00,20.99,22.0,13.75,15.65,123086.50823711
2016-06-18 00:00:00,15.64,15.74,10.0,11.64,80852.03798852
2016-06-19 00:00:00,11.55,13.4,10.72,12.35,28851.00195531
2016-06-20 00:00:00,12.35,12.74,10.8,11.81,34641.79666928
2016-06-21 00:00:00,11.44,13.89,11.2,13.89,32071.49064345
2016-06-22 00:00:00,13.3,15.89,13.07,13.18,68057.88469055
2016-06-23 00:00:00,13.18,14.5,12.68,13.81,34442.87789793
2016-06-24 00:00:00,13.98,14.8,13.25,14.55,32274.19757915
2016-06-25 00:00:00,14.55,14.74,14.0,14.37,10302.71187563
2016-06-26 00:00:00,14.39,14.49,13.6,14.02,7488.8236385
2016-06-27 00:00:00,14.0,14.59,13.85,14.1,10078.63738047
2016-06-28 00:00:00,14.06,14.25,11.52,12.23,42387.67810322
2016-06-29 00:00:00,12.16,13.13,11.62,12.74,25997.64756834
2016-06-30 00:00:00,12.7,13.06,12.19,12.49,12663.14580924
2016-07-01 00:00:00,12.48,12.54,11.8,12.34,19205.4897143
2016-07-02 00:00:00,12.28,12.45,12.0,12.09,11840.96985278
2016-07-03 00:00:00,12.16,12.16,11.65,12.02,11736.40355589
2016-07-04 00:00:00,11.94,11.99,11.41,11.48,5533.2581474
2016-07-05 00:00:00,11.45,11.48,9.31,10.6,34511.7068254
2016-07-06 00:00:00,10.6,11.0,10.24,10.61,14275.48001113
2016-07-07 00:00:00,10.6,10.7,9.75,10.08,21326.77616712
2016-07-08 00:00:00,10.08,11.8,10.05,11.43,27617.23490332
2016-07-09 00:00:00,11.39,11.57,10.68,11.01,9083.5261648
